iter	Passed	Remaining
209	322	1213
210	323	1208
211	323	1202
212	324	1197
213	324	1192
214	325	1187
215	325	1181
216	326	1176
217	326	1172
218	327	1167
219	327	1162
220	328	1157
221	328	1152
222	329	1147
223	329	1142
224	330	1137
225	330	1132
226	331	1127
227	335	1134
228	335	1130
229	336	1126
230	336	1121
231	337	1116
232	337	1112
233	338	1107
234	338	1102
235	339	1098
236	339	1094
237	340	1090
238	341	1086
239	341	1082
240	342	1078
241	343	1074
242	343	1070
243	344	1066
244	344	1062
245	345	1058
246	345	1054
247	346	1050
248	349	1055
249	350	1052
250	351	1049
251	352	1045
252	352	1042
253	353	1038
254	354	1034
255	354	1030
256	355	1027
257	356	1023
258	356	1020
259	357	1017
260	358	1014
261	358	1010
262	359	1007
263	360	1004
264	360	1000
265	361	996
266	363	998
267	365	997
268	365	994
269	366	990
270	367	988
271	367	984
272	369	984
273	371	984
274	373	985
275	382	1004
276	385	1005
277	386	1002
278	386	999
279	387	997
280	388	993
281	388	990
282	389	987
283	390	983
284	391	981
285	395	986
286	397	987
287	399	987
288	400	985
289	401	982
290	401	979
291	402	975
292	403	972
293	403	969
294	404	965
295	405	963
296	405	960
297	406	957
298	406	953
299	410	958
300	412	957
301	412	954
302	413	951
303	414	948
304	415	945
305	415	942
306	416	939
307	416	936
308	417	933
309	418	930
310	418	927
311	419	924
312	419	921
313	420	919
314	421	916
315	427	924
316	428	922
317	428	919
318	429	916
319	429	912
320	430	909
321	430	906
322	430	903
323	431	900
324	431	897
325	432	894
326	432	890
327	433	887
328	433	884
329	434	881
330	434	878
331	435	875
332	435	872
333	436	870
334	442	878
335	443	876
336	444	873
337	444	871
338	445	868
339	445	865
340	446	862
341	447	860
342	447	857
343	448	855
344	449	852
345	449	850
346	450	847
347	450	844
348	451	841
349	451	838
350	456	844
351	457	842
352	458	840
353	459	838
354	460	836
355	460	833
356	461	830
357	461	828
358	462	825
359	463	823
360	463	820
361	464	818
362	465	816
363	465	813
364	466	811
365	466	808
366	467	805
367	468	805
368	469	803
369	470	801
370	471	799
371	472	797
372	472	794
373	473	792
374	473	789
375	474	787
376	475	785
377	476	783
378	476	780
379	477	778
380	477	775
381	478	773
382	478	770
383	479	768
384	480	766
385	482	767
386	483	765
387	484	763
388	485	761
389	485	759
390	486	757
391	487	755
392	487	753
393	488	751
394	489	749
395	490	747
396	499	758
397	499	756
398	501	754
399	502	753
400	502	751
401	503	748
402	503	746
403	504	744
404	505	742
405	505	739
406	506	737
407	506	735
408	507	733
409	512	737
410	515	738
411	516	736
412	516	734
413	517	732
414	518	730
415	519	728
416	520	727
417	521	725
418	521	723
419	522	721
420	530	729
421	531	727
422	531	725
423	532	723
424	533	721
425	535	721
426	536	719
427	537	718
428	538	716
429	541	717
430	541	715
431	542	713
432	542	710
433	543	708
434	544	706
435	546	706
436	547	704
437	548	703
438	549	701
439	549	699
440	550	697
441	551	695
442	551	693
443	552	691
444	552	689
445	558	693
446	559	692
447	560	690
448	560	688
449	561	686
450	561	684
451	562	682
452	563	680
453	564	678
454	564	676
455	565	675
456	566	673
457	567	671
458	567	669
459	568	667
460	568	665
461	573	667
462	574	666
463	575	665
464	577	663
465	578	662
466	578	660
467	579	658
468	580	656
469	580	655
470	581	653
471	582	651
472	582	649
473	583	647
474	583	645
475	587	646
476	588	645
477	589	643
478	589	641
479	590	640
480	592	638
481	592	637
482	593	635
483	594	633
484	595	631
485	595	629
